,text, target,processed
10,เมื่อเช้าก็ควาย ตอนนี้ก็หมา ใครทำไรมึง twitter.com/qxzs91/status/…,0,"['เมื่อเช้า', 'ก็', 'ควาย', 'ตอนนี้', 'ก็', 'หมา', 'ใคร', 'ทำ', 'ไร', 'มึง', 'xxurl']"
11,ความคิดต่ำๆอีควาย ไม่ให้เกียรติผู้หญิง สันดาน,1,"['ความคิด', 'ต่ำ', 'อี', 'ควาย', 'ไม่', 'ให้เกียรติ', 'ผู้หญิง', 'สันดาน']"
12,ควายแดงเมิงด่ารัฐบาลจนรองนายกป่วย พวกมึงกำลังทำลายชาติรู้มั้ย มั้ย มั้ย มั้ยยยยยยยยย news.voicetv.co.th/thailand/51672…,1,"['ควาย', 'แดง', 'เมิง', 'ด่า', 'รัฐบาล', 'จน', 'รอง', 'นายก', 'ป่วย', 'พวก', 'มึง', 'กำลัง', 'ทำลาย', 'ชาติ', 'รู้', 'มั้ย', 'มั้ย', 'มั้ย', 'มั้ย', 'xxrep', 'xxurl']"
13,เออ มันปากหมา กูรู้ แต่กูรักไง กูรักไปแล้วเว้ย ทำไงได้ว้ะ ไม่เป็นกูไม่รู้หรอก มุมดีๆมันก็เยอะจนกูลืมไม่ลงเหมือนกันแหละ แม่ง !!,0,"['เออ', 'มัน', 'ปากหมา', 'กู', 'รู้', 'แต่', 'กู', 'รัก', 'ไง', 'กู', 'รัก', 'ไป', 'แล้ว', 'เว้ย', 'ทำ', 'ไง', 'ได้', 'ว้ะ', 'ไม่', 'เป็น', 'กู', 'ไม่', 'รู้', 'หรอก', 'มุ', 'มดี', 'มัน', 'ก็', 'เยอะ', 'จน', 'กู', 'ลืม', 'ไม่', 'ลง', 'เหมือนกัน', 'แหละ', 'แม่', '!!']"
14,เมือเราถูกเข้าใจผิด...สิ่งที่ยากที่สุดคือพยายามปรับความเข้าใจกับ..ควาย..ด้วยภาษา...คน#ชมรมครูฝึกยิงปืน,1,"['เมือ', 'เรา', 'ถูก', 'เข้าใจผิด', 'xxrep', 'สิ่ง', 'ที่', 'ยาก', 'ที่สุด', 'คือ', 'พยายาม', 'ปรับความเข้าใจ', 'กับ', '..', 'ควาย', '..', 'ด้วย', 'ภาษา', 'xxrep', 'คน', 'ชมรม', 'ครูฝึก', 'ยิงปืน']"
15,ปฏิวัติมาแทบตาย สุดท้ายได้ควายเป็นนายก #กะลาแลนด์,1,"['ปฏิวัติ', 'มา', 'แทบตาย', 'สุดท้าย', 'ได้', 'ควาย', 'เป็น', 'นายก', 'กะลา', 'แลนด์']"
16,คนไทยจะโกรธมากถ้าพูดว่าสีซอให้ควายฟัง ทั้งๆที่ตัวเองไม่รับฟังความเห็นของผู้อื่น ยึดติดในความคิดของตัวเอง ชาติไม่เจริญไม่โทษใคร #คุนต่อยอด,1,"['คนไทย', 'จะ', 'โกรธ', 'มาก', 'ถ้า', 'พูดว่า', 'สีซอให้ควายฟัง', 'ทั้งๆ', 'ที่', 'ตัวเอง', 'ไม่', 'รับฟัง', 'ความเห็น', 'ของ', 'ผู้อื่น', 'ยึดติด', 'ใน', 'ความคิด', 'ของ', 'ตัวเอง', 'ชาติ', 'ไม่', 'เจริญ', 'ไม่', 'โทษ', 'ใคร', 'คุ', 'ต่อยอด']"
17,บางทีก็สงสัยนะว่าตัวเองเลี้ยงหมาหรือหมูหรือหมีขาวล่าสุดเลี้ยงแกะอ้วน,0,"['บางที', 'ก็', 'สงสัย', 'นะ', 'ว่า', 'ตัวเอง', 'เลี้ยง', 'หมา', 'หรือ', 'หมู', 'หรือ', 'หมี', 'ขาว', 'ล่าสุด', 'เลี้ยง', 'แกะ', 'อ้วน']"
18,รองเท้าใหม่ก็กัดจริงกัดจัง เป็นหมาหรอสาด,0,"['รองเท้า', 'ใหม่', 'ก็', 'กัด', 'จริง', 'กัด', 'จัง', 'เป็น', 'หมา', 'หรอ', 'สาด']"
19,พวกมอเตอร์ไซค์ที่จอดติดไฟแดงไม่เป็น ต้องวิ่งฝ่าออกไป พวกนี้คุณภาพชีวิตต่ำกว่าหมาอีกนะ มันพร้อมตายได้ทุกเมื่อ ตายแล้วเสือกเดือดร้อนคนอื่นอีก,1,"['พวก', 'มอเตอร์ไซค์', 'ที่', 'จอด', 'ติด', 'ไฟแดง', 'ไม่', 'เป็น', 'ต้อง', 'วิ่ง', 'ฝ่า', 'ออก', 'ไป', 'พวก', 'นี้', 'คุณภาพชีวิต', 'ต่ำกว่า', 'หมา', 'อีก', 'นะ', 'มัน', 'พร้อม', 'ตาย', 'ได้', 'ทุกเมื่อ', 'ตาย', 'แล้ว', 'เสือก', 'เดือดร้อน', 'คนอื่น', 'อีก']"
20,ก็แค่หมาที่คิดว่าตัวเองเป็นสิงห์,0,"['ก็', 'แค่', 'หมา', 'ที่', 'คิด', 'ว่า', 'ตัวเอง', 'เป็น', 'สิงห์']"
21,คนที่เกลียดหมาแมว ลองทำใจแค่วันเดียว หยิบยื่นให้เขาบ้าง fb.me/2KdrpD9UQ,0,"['คน', 'ที่', 'เกลียด', 'หมา', 'แมว', 'ลอง', 'ทำใจ', 'แค่', 'วัน', 'เดียว', 'หยิบยื่น', 'ให้', 'เขา', 'บ้าง', 'xxurl']"
22,สงสัยปากหมาเกินเยียวยา,1,"['สงสัย', 'ปากหมา', 'เกิน', 'เยียวยา']"
23,อห.หมาหอน แล้วคนข้างบ้านตาย อห.อย่ามาหลอกนะ กูแช่งจริงๆด้วย กูไม่ได้โกหก😡🖕🖕,0,"['อห', 'หมา', 'หอน', 'แล้ว', 'คน', 'ข้าง', 'บ้าน', 'ตาย', 'อห', 'อย่า', 'มา', 'หลอก', 'นะ', 'กู', 'แช่ง', 'จริงๆ', 'ด้วย', 'กู', 'ไม่', 'ได้', 'โกหก', 'EMJpouting-faceEMJEMJmiddle-fingerEMJEMJmiddle-fingerEMJ']"
24,เป็นหมาก็ดีนะไม่ต้องโดนดุโดนบ่นโดนว่า ก็ดีอ่ะ,0,"['เป็น', 'หมา', 'ก็ดี', 'นะ', 'ไม่ต้อง', 'โดน', 'ดุ', 'โดน', 'บ่น', 'โดน', 'ว่า', 'ก็ดี', 'อ่ะ']"
25,เหมือนหมาตัวนึงที่รอเจ้าของมาเล่นด้วยเวลาที่เขาว่างอ่ะ,0,"['เหมือน', 'หมา', 'ตัว', 'นึง', 'ที่', 'รอ', 'เจ้าของ', 'มา', 'เล่น', 'ด้วย', 'เวลา', 'ที่', 'เขา', 'ว่าง', 'อ่ะ']"
26,เลือกเพื่อนนี่ ต้องดูให้ดีแค่ไหนวะ คนไหนจริงใจคนไหนตอแหล,0,"['เลือก', 'เพื่อน', 'นี่', 'ต้อง', 'ดู', 'ให้', 'ดี', 'แค่', 'ไหน', 'วะ', 'คน', 'ไหน', 'จริงใจ', 'คน', 'ไหน', 'ตอแหล']"
27,คือหนูจะเป็นคนตอแหลแบบนี้ไปตลอดชีวิตเลยเหรอ,1,"['คือ', 'หนู', 'จะ', 'เป็น', 'คน', 'ตอแหล', 'แบบนี้', 'ไป', 'ตลอดชีวิต', 'เลย', 'เหรอ']"
28,เวลาพูดแล้วไม่มีความจริงในนั้นอ่ะรู้สึกอะไรบ้างปะวะ หรือเพราะเป็นตอแหลเลยไม่รู้สึกอะไรเลย,1,"['เวลา', 'พูด', 'แล้ว', 'ไม่', 'มี', 'ความจริง', 'ใน', 'นั้น', 'อ่ะ', 'รู้สึก', 'อะไร', 'บ้าง', 'ปะ', 'วะ', 'หรือ', 'เพราะ', 'เป็น', 'ตอแหล', 'เลย', 'ไม่', 'รู้สึก', 'อะไร', 'เลย']"
29,บางคนออร่าตอแหลแรงมาก มองจากดาวอังคารลงมายังรู้เลยว่าไม่จริิงใจ,1,"['บางคน', 'ออ', 'ร่า', 'ตอแหล', 'แรง', 'มาก', 'มอง', 'จาก', 'ดาวอังคาร', 'ลง', 'มายัง', 'รู้', 'เลย', 'ว่า', 'ไม่', 'ริ', 'ิง', 'ใจ']"
30,ต้องทักทายด้วยสีหน้าตอแหลยิ้มแย้มแจ่มใส กับสิ่งที่มึงทำกับกูงี้หรอ,1,"['ต้อง', 'ทักทาย', 'ด้วย', 'สีหน้า', 'ตอแหล', 'ยิ้มแย้มแจ่มใส', 'กับ', 'สิ่ง', 'ที่', 'มึง', 'ทำ', 'กับ', 'กู', 'งี้', 'หรอ']"
31,สนุกจังโว้ยเวลาแช่งทีมอื่น,0,"['สนุก', 'จัง', 'โว้ย', 'เวลา', 'แช่ง', 'ทีม', 'อื่น']"
32,แอนตี้ดูมีความสุขกับการโดนด่า พอโดนด่าก็แถ พอโดนด่าว่าตอแหลก็รับไม่ได้ เอิ่มจ้าๆ,1,"['แอนตี้', 'ดู', 'มีความสุข', 'กับ', 'การ', 'โดน', 'ด่า', 'พอ', 'โดน', 'ด่า', 'ก็', 'แถ', 'พอ', 'โดน', 'ด่าว่า', 'ตอแหล', 'ก็', 'รับ', 'ไม่', 'ได้', 'เอิ่ม', 'จ้า']"
33,เก่งจริงก้มาต่อหน้า ไม่ต้องโพสต์ด่า ลูกหมาหน้าจอ😏#คำคม #คําคมโดนๆ #คำคมเด็ดๆ #คําคมชีวิต #คําคมเสี่ยว #คําคมแรงๆ #เก่งแต่ปากกากการกระทำ,1,"['เก่ง', 'จริง', 'ก้', 'มา', 'ต่อหน้า', 'ไม่ต้อง', 'โพสต์', 'ด่า', 'ลูก', 'หมา', 'หน้าจอ', 'EMJsmirking-faceEMJ', 'คำคม', '#คําคม', 'โดน', 'คำคม', 'เด็ด', '#คําคม', 'ชีวิต', '#คําคม', 'เสี่ยว', '#คําคม', 'แรง', 'เก่งแต่ปาก', 'กาก', 'การกระทำ']"
34,แช่งให้พ่อแม่คนอื่นตายถ้าตอแหล แต่ดันโครมเข้าบ้านมึง สงสัยน่าจะได้กระเช้าแบบพวงหรีดเร็วๆนี้,1,"['แช่ง', 'ให้', 'พ่อแม่', 'คนอื่น', 'ตาย', 'ถ้า', 'ตอแหล', 'แต่', 'ดัน', 'โครม', 'เข้า', 'บ้าน', 'มึง', 'สงสัย', 'น่าจะ', 'ได้', 'กระเช้า', 'แบบ', 'พวงหรีด', 'เร็ว', 'นี้']"
35,ก็อย่างว่าแหละ คนพวกเดียวกัน มันก็อยู่ด้วยกันได้ไง ตอแหล ไร้สาระเหมือนกันไง,0,"['ก็', 'อย่างว่า', 'แหละ', 'คน', 'พวก', 'เดียวกัน', 'มัน', 'ก็', 'อยู่', 'ด้วยกัน', 'ได้', 'ไง', 'ตอแหล', 'ไร้สาระ', 'เหมือนกัน', 'ไง']"
36,พอเถอะ อย่ามาตอแหลกับกูอีกเลย ไม่ได้อยู่ในฐานะที่ต้องมานั่งโกหกกันแล้วอ่ะ,1,"['พอ', 'เถอะ', 'อย่า', 'มา', 'ตอแหล', 'กับ', 'กู', 'อีก', 'เลย', 'ไม่', 'ได้', 'อยู่', 'ใน', 'ฐานะ', 'ที่', 'ต้อง', 'มา', 'นั่ง', 'โกหก', 'กัน', 'แล้ว', 'อ่ะ']"
37,ชีวิตเหมือนเกิดมานอนโง่ๆแล้วตายจากไป..,0,"['ชีวิต', 'เหมือน', 'เกิด', 'มา', 'นอน', 'โง่', 'แล้ว', 'ตาย', 'จากไป', '..']"
38,การเปิดใจกลับกลายเป็นความโง่,0,"['การ', 'เปิดใจ', 'กลับกลาย', 'เป็นความ', 'โง่']"
39,หลายคนวิเคราะห์มีหลักการมาก แต่เราก็ไม่เข้าใจอยู่ดีค่ะ เราโง่,0,"['หลาย', 'คน', 'วิเคราะห์', 'มี', 'หลักการ', 'มาก', 'แต่', 'เรา', 'ก็', 'ไม่', 'เข้าใจ', 'อยู่ดี', 'ค่ะ', 'เรา', 'โง่']"
40,ไม่อยากไปรร.อ่ะ ปวดหัว ปวดตีนปวดตีนด้วยความโครตโง่,0,"['ไม่', 'อยาก', 'ไป', 'รร.', 'อ่ะ', 'ปวดหัว', 'ปวด', 'ตีน', 'ปวด', 'ตีน', 'ด้วย', 'ความ', 'โค', 'รต', 'โง่']"
41,เหี้ยไม่พอ โง่ซ้ำซาก,1,"['เหี้ย', 'ไม่', 'พอ', 'โง่', 'ซ้ำซาก']"
42,เจ้าภาพมาเลเซียแม่งโง่วะ ยุคโซเชี่ยลแทนที่จะทำดีๆ คนจะได้กลับไปท่องเที่ยวอัก นี่เหี้ยทั้งโรงแรม ทั้งน้ำใจ.,1,"['เจ้าภาพ', 'มาเลเซีย', 'แม่', 'โง่', 'วะ', 'ยุค', 'โซ', 'เชี่ยล', 'แทนที่จะ', 'ทำดี', 'คน', 'จะ', 'ได้', 'กลับ', 'ไป', 'ท่องเที่ยว', 'อัก', 'นี่', 'เหี้ย', 'ทั้ง', 'โรงแรม', 'ทั้ง', 'น้ำใจ']"
43,- ยอมให้ ไม่ได้หมายความว่าโง่,0,"['ยอมให้', 'ไม่', 'ได้', 'หมายความว่า', 'โง่']"
44,อย่าไปโชว์ความโง่ของตัวเองให้คนอื่นดูเลย,0,"['อย่า', 'ไป', 'โชว์', 'ความ', 'โง่', 'ของ', 'ตัวเอง', 'ให้', 'คนอื่น', 'ดู', 'เลย']"
45,แล้วอีกอย่างนะ เห็นคนนั้น คนนี้ทำอะไรแล้วได้เงิน พอทำเองบ้างเสือกเจ๊ง แล้วมาว่าคนไม่ดี โง่เองป่าววะ,0,"['แล้ว', 'อีก', 'อย่าง', 'นะ', 'เห็น', 'คน', 'นั้น', 'คน', 'นี้', 'ทำ', 'อะไร', 'แล้ว', 'ได้เงิน', 'พอ', 'ทำ', 'เอง', 'บ้าง', 'เสือก', 'เจ๊ง', 'แล้ว', 'มา', 'ว่า', 'คน', 'ไม่', 'ดี', 'โง่', 'เอง', 'ป่าว', 'วะ']"
46,มีเวลาก็หัดศึกษาเองบ้างสิคะ อิโง่ คนเค้ารู้เค้าถึงตอบ ไม่รุแล้วมาเหวี่ยงใช่เรื่องป่ะ ทุเรส ออกงานมีเวลาก็หัดดูเอง ไม่ใช่รอให้คนอื่นมาประเคน,1,"['มี', 'เวลา', 'ก็', 'หัด', 'ศึกษา', 'เอง', 'บ้าง', 'สิ', 'คะ', 'อิ', 'โง่', 'คน', 'เค้า', 'รู้เค้า', 'ถึง', 'ตอบ', 'ไม่', 'รุ', 'แล้ว', 'มา', 'เหวี่ยง', 'ใช่', 'เรื่อง', 'ป่ะ', 'ทุ', 'เร', 'ออกงาน', 'มี', 'เวลา', 'ก็', 'หัด', 'ดู', 'เอง', 'ไม่', 'ใช่', 'รอ', 'ให้', 'คนอื่น', 'มา', 'ประเคน']"
47,ประชาชนเลว ประชาชนชอบใส่ร้าย ประชาชนโง่ ประชาชนถูกจ้างมา ทหารคนดีมากครับ pic.twitter.com/9FyOibUGLX,1,"['ประชาชน', 'เลว', 'ประชาชน', 'ชอบ', 'ใส่ร้าย', 'ประชาชน', 'โง่', 'ประชาชน', 'ถูก', 'จ้าง', 'มา', 'ทหาร', 'คน', 'ดีมาก', 'ครับ', 'xxurl']"
48,ทำไมมันชอบบ่นว่าตัวเองอ้วน ควรบ่นความตอแหลตัวเองมากกว่า,1,"['ทำไม', 'มัน', 'ชอบ', 'บ่นว่า', 'ตัวเอง', 'อ้วน', 'ควร', 'บ่น', 'ความ', 'ตอแหล', 'ตัวเอง', 'มากกว่า']"
49,ใน ทวต. นี่มันก็ฮาดีนะมันจะมีคนโง่ในโง่อีกที ที่คนฟอลเยอะๆและทำตัวเหมือนรู้ทุกสิ่งอะ แต่เสือกเป็นคนที่โง่มากๆในสายตาของคนที่รู้ความจริง😒,1,"['ใน', 'ทว', 'ต.', 'นี่', 'มัน', 'ก็', 'ฮา', 'ดี', 'นะ', 'มัน', 'จะ', 'มี', 'คนโง่', 'ใน', 'โง่', 'อีกที', 'ที่', 'คน', 'ฟอ', 'เยอะ', 'และ', 'ทำตัว', 'เหมือน', 'รู้', 'ทุกสิ่ง', 'อะ', 'แต่', 'เสือก', 'เป็น', 'คน', 'ที่', 'โง่', 'มาก', 'ใน', 'สายตา', 'ของ', 'คน', 'ที่', 'รู้', 'ความจริง', 'EMJunamused-faceEMJ']"
50,อวยพรไปงั้นอ่ะ ในใจกูแช่งให้พวกมึงไปกันไม่รอดอยู่ รู้ไว้ไอ่โง่,1,"['อวยพร', 'ไป', 'งั้น', 'อ่ะ', 'ใน', 'ใจ', 'กู', 'แช่ง', 'ให้', 'พวก', 'มึง', 'ไป', 'กัน', 'ไม่', 'รอด', 'อยู่', 'รู้', 'ไว้', 'ไอ่', 'โง่']"
51,ไม่มีสัจจะในหมู่คนเลวนะอีหนู!!!,0,"['ไม่', 'มีสัจจะ', 'ใน', 'หมู่', 'คนเลว', 'นะ', 'อีหนู', 'xxrep']"
52,ยามบ้านเมืองวิกฤติ ดี เลว ถูก ผิด มองไม่ชัด มีแต่ แข็ง อ่อน สูง ต่ำ รวย จน และผู้พิชิตคือวีรบุรุษ ผู้แพ้คือโจร (โจโฉ),0,"['ยาม', 'บ้านเมือง', 'วิกฤติ', 'ดี', 'เลว', 'ถูก', 'ผิด', 'มอง', 'ไม่', 'ชัด', 'มี', 'แต่', 'แข็ง', 'อ่อน', 'สูง', 'ต่ำ', 'รวย', 'จน', 'และ', 'ผู้พิชิต', 'คือ', 'วีรบุรุษ', 'ผู้แพ้', 'คือ', 'โจร', 'โจโฉ']"
53,เห็นแฟนเปลี่ยนสีผม นี่เลยไปทำสีบ้าง สีพลาดไปรอบนึงต้องแก้ใหม่😂😂😂 สุดท้ายสีที่ได้ก็ไม่ได้เลวร้ายอะไรนะ แค่ไม่ใช่สีที่เลือกไว้ตอนแรกแค่นั้น😂,0,"['เห็น', 'แฟน', 'เปลี่ยน', 'สีผม', 'นี่', 'เลย', 'ไป', 'ทำ', 'สี', 'บ้าง', 'สี', 'พลาด', 'ไป', 'รอบ', 'นึง', 'ต้อง', 'แก้', 'ใหม่', 'EMJface-with-tears-of-joyEMJEMJface-with-tears-of-joyEMJEMJface-with-tears-of-joyEMJ', 'สุดท้าย', 'สี', 'ที่', 'ได้', 'ก็', 'ไม่', 'ได้', 'เลวร้าย', 'อะไร', 'นะ', 'แค่', 'ไม่', 'ใช่', 'สี', 'ที่', 'เลือก', 'ไว้', 'ตอนแรก', 'แค่นั้น', 'EMJface-with-tears-of-joyEMJ']"
54,ความจริงแม่งก็เลวไม่ต่างกันมากหรอก,1,"['ความจริง', 'แม่', 'ก็', 'เลว', 'ไม่', 'ต่างกัน', 'มาก', 'หรอก']"
55,"ยิ่งโตยิ่งเชื่อในประโยคที่ว่า ""โลกแม่งจะสอนให้เราเลวขึ้น""",0,"['ยิ่ง', 'โต', 'ยิ่ง', 'เชื่อ', 'ใน', 'ประโยค', 'ที่ว่า', 'โลก', 'แม่', 'จะ', 'สอน', 'ให้', 'เรา', 'เลว', 'ขึ้น']"
56,อย่างน้อยช่วงเวลาที่เลวร้ายที่สุดในชีวิต มันทำให้เราได้เรียนรู้ว่าทุกปัญหามีทางออกเสมอ ไม่ว่าปัญหานั้นจะเล็กหรือใหญ่เพียงใด 🤞🏻🤞🏻,0,"['อย่าง', 'น้อย', 'ช่วงเวลา', 'ที่', 'เลวร้าย', 'ที่สุด', 'ใน', 'ชีวิต', 'มัน', 'ทำให้', 'เรา', 'ได้', 'เรียนรู้', 'ว่า', 'ทุก', 'ปัญหา', 'มี', 'ทางออก', 'เสมอ', 'ไม่', 'ว่า', 'ปัญหา', 'นั้น', 'จะ', 'เล็ก', 'หรือ', 'ใหญ่', 'เพียงใด', 'EMJcrossed-fingersEMJEMJlight-skin-toneEMJEMJcrossed-fingersEMJEMJlight-skin-toneEMJ']"
57,ไม่มีใครดีที่สุด ไม่มีใครเลวที่สุด ถ้ายังรู้จักกันไม่ถึงที่สุด😌,0,"['ไม่', 'มี', 'ใคร', 'ดี', 'ที่สุด', 'ไม่', 'มี', 'ใคร', 'เลว', 'ที่สุด', 'ถ้า', 'ยัง', 'รู้จัก', 'กัน', 'ไม่', 'ถึงที่สุด', 'EMJrelieved-faceEMJ']"
58,ทำดีมาทั้งชีวิต พลาดครั้งเดียวกลายเป็นเลวไม่มีชิ้นดี,0,"['ทำดี', 'มา', 'ทั้ง', 'ชีวิต', 'พลาด', 'ครั้ง', 'เดียว', 'กลายเป็น', 'เลว', 'ไม่', 'มี', 'ชิ้น', 'ดี']"
59,คำพูดนี่มีพลังจริงๆคนที่พูดเอาดีเข้าตัวเอาชั่วให้คนอื่น ทั้งที่ฝ่ายดีก็ชั่วพอกัน แต่แค่ไม่มีคนเล่า คนก็มองว่าฝ่ายชั่วว่าเลวอยู่ฝ่ายเดียวละ,0,"['คำพูด', 'นี่', 'มีพลัง', 'จริงๆ', 'คน', 'ที่', 'พูด', 'เอา', 'ดี', 'เข้าตัว', 'เอา', 'ชั่ว', 'ให้', 'คนอื่น', 'ทั้งที่', 'ฝ่าย', 'ดี', 'ก็', 'ชั่ว', 'พอกัน', 'แต่', 'แค่', 'ไม่', 'มี', 'คน', 'เล่า', 'คน', 'ก็', 'มองว่า', 'ฝ่าย', 'ชั่ว', 'ว่า', 'เลว', 'อยู่', 'ฝ่าย', 'เดียว', 'ละ']"
60,ผู้ชายคนนึงบนรถเมล์พูดว่าแฟนซื้อของให้บ่อยราคาแพงๆ ไม่ได้ดูน่าอิจฉานะ ดูเหี้ยอะ แมงดา,1,"['ผู้ชาย', 'คน', 'นึง', 'บน', 'รถเมล์', 'พูดว่า', 'แฟน', 'ซื้อ', 'ของ', 'ให้', 'บ่อย', 'ราคาแพง', 'ไม่', 'ได้', 'ดู', 'น่าอิจฉา', 'นะ', 'ดู', 'เหี้ย', 'อะ', 'แมงดา']"
61,ถึงเป็นเหี้ยเป็นยักษ์ยังรักลูกมึงต้องถูกสาบแช่งแรงกว่าเหี้ยจิตใจเลวร้ายไม่ไหวจะเคลียร์อิหัวใจต่ำเตี้ยกว่าโคลตม#กูยังโกรธ,1,"['ถึง', 'เป็น', 'เหี้ย', 'เป็น', 'ยักษ์', 'ยัง', 'รัก', 'ลูก', 'มึง', 'ต้อง', 'ถูก', 'สาบ', 'แช่ง', 'แรง', 'กว่า', 'เหี้ย', 'จิตใจ', 'เลวร้าย', 'ไม่', 'ไห', 'วจะ', 'เคลียร์', 'อิ', 'หัว', 'ใจต่ำ', 'เตี้ย', 'กว่า', 'โคล', 'ตม', 'กู', 'ยัง', 'โกรธ']"
62,อีสิวเลว เหมือนรู้เลยนะว่าจะเปิดเทอมแล้ว แย่งกันขึ้นเชียว! ขอบคุณจ้ะ,0,"['อี', 'สิว', 'เลว', 'เหมือน', 'รู้', 'เลย', 'นะ', 'ว่า', 'จะ', 'เปิดเทอม', 'แล้ว', 'แย่ง', 'กัน', 'ขึ้น', 'เชียว', 'ขอบคุณ', 'จ้ะ']"
63,ชอบแมงดาขนาดนี้ เป็นกะหรี่ป่ะจ๊ะ,1,"['ชอบ', 'แมงดา', 'ขนาด', 'นี้', 'เป็น', 'กะหรี่', 'ป่ะ', 'จ๊ะ']"
64,สมเป็นหัวหน้าคนชั่ว.👍5555555,1,"['สม', 'เป็น', 'หัวหน้า', 'คนชั่ว', 'EMJthumbs-upEMJ', 'xxrep']"
65,ใครที่ดูถูกว่ารับงาน ว่ากะหรี่ เชิญคุณดูถูกได้ตามสบายค่ะ คนเรามีโอกาสในชีวิตต่างกัน,0,"['ใคร', 'ที่', 'ดูถูก', 'ว่า', 'รับงาน', 'ว่า', 'กะหรี่', 'เชิญ', 'คุณ', 'ดูถูก', 'ได้', 'ตามสบาย', 'ค่ะ', 'คนเรา', 'มีโอกาส', 'ใน', 'ชีวิต', 'ต่างกัน']"
